Port,DateHMS,Status,X200,X202.5,X205,X207.5,X210,X212.5,X215,X217.5,X220,X222.5,X225,X227.5,X230,X232.5,X235,X237.5,X240,X242.5,X245,X247.5,X250,X252.5,X255,X257.5,X260,X262.5,X265,X267.5,X270,X272.5,X275,X277.5,X280,X282.5,X285,X287.5,X290,X292.5,X295,X297.5,X300,X302.5,X305,X307.5,X310,X312.5,X315,X317.5,X320,X322.5,X325,X327.5,X330,X332.5,X335,X337.5,X340,X342.5,X345,X347.5,X350,X352.5,X355,X357.5,X360,X362.5,X365,X367.5,X370,X372.5,X375,X377.5,X380,X382.5,X385,X387.5,X390,X392.5,X395,X397.5,X400,X402.5,X405,X407.5,X410,X412.5,X415,X417.5,X420,X422.5,X425,X427.5,X430,X432.5,X435,X437.5,X440,X442.5,X445,X447.5,X450,X452.5,X455,X457.5,X460,X462.5,X465,X467.5,X470,X472.5,X475,X477.5,X480,X482.5,X485,X487.5,X490,X492.5,X495,X497.5,X500,X502.5,X505,X507.5,X510,X512.5,X515,X517.5,X520,X522.5,X525,X527.5,X530,X532.5,X535,X537.5,X540,X542.5,X545,X547.5,X550,X552.5,X555,X557.5,X560,X562.5,X565,X567.5,X570,X572.5,X575,X577.5,X580,X582.5,X585,X587.5,X590,X592.5,X595,X597.5,X600,X602.5,X605,X607.5,X610,X612.5,X615,X617.5,X620,X622.5,X625,X627.5,X630,X632.5,X635,X637.5,X640,X642.5,X645,X647.5,X650,X652.5,X655,X657.5,X660,X662.5,X665,X667.5,X670,X672.5,X675,X677.5,X680,X682.5,X685,X687.5,X690,X692.5,X695,X697.5,X700,X702.5,X705,X707.5,X710,X712.5,X715,X717.5,X720,X722.5,X725,X727.5,X730
2,5/20/19 12:43,Ok,22.7433,20.7353,18.3413,16.0706,14.3101,13.2529,12.712,12.458,12.3771,12.4033,12.5525,12.7615,12.8829,12.9532,13.0524,13.1342,13.1506,13.055,12.7817,12.4125,12.005,11.461,10.6741,9.8254,9.2721,8.9342,8.6109,8.3802,8.2312,8.1114,8.0014,7.8917,7.7883,7.6989,7.6056,7.4849,7.3484,7.2172,7.1121,6.9935,6.8444,6.6826,6.5719,6.4881,6.4021,6.3261,6.2379,6.1563,6.1015,6.0554,5.9999,5.9318,5.8715,5.84,5.798,5.7322,5.6857,5.6359,5.5672,5.5167,5.4683,5.4193,5.3662,5.3147,5.2622,5.2241,5.1539,5.0904,5.0972,5.0608,4.9834,4.9702,4.9469,4.8983,4.919,4.9217,4.8824,4.8868,4.8801,4.8663,4.8382,4.7828,4.7418,4.6881,4.6619,4.6085,4.4984,4.4421,4.4418,4.4797,4.4991,4.4202,4.331,4.3111,4.3285,4.3367,4.3106,4.2626,4.2485,4.2732,4.2402,4.2123,4.2067,4.1919,4.183,4.1799,4.1582,4.1256,4.107,4.1224,4.1238,4.0973,4.1028,4.141,4.1421,4.0955,4.0495,4.0336,4.0361,4.015,4.0065,3.9966,3.9957,4.0053,3.9933,3.9855,3.9909,3.9725,3.9572,3.9402,3.9454,3.9383,3.9353,3.9671,3.9372,3.8951,3.9147,3.9326,3.8792,3.8104,3.8081,3.8485,3.8627,3.8438,3.791,3.7847,3.8287,3.8364,3.8035,3.7872,3.833,3.8151,3.7782,3.7961,3.7646,3.7752,3.7689,3.7259,3.7381,3.7859,3.7301,3.6896,3.7086,3.6877,3.6814,3.6891,3.6637,3.6613,3.6546,3.6358,3.6421,3.6483,3.6423,3.6488,3.6835,3.6595,3.6117,3.5926,3.6142,3.6411,3.5628,3.5357,3.6254,3.6283,3.5684,3.5801,3.5848,3.5552,3.5443,3.5435,3.5581,3.572,3.5731,3.5058,3.5102,3.5482,3.5292,3.6019,3.5654,3.4692,3.4827,3.4428,3.4359,3.453,3.4878,3.5412,3.5178,3.4285,3.3393,3.3188,3.3164,3.2825,3.2588
2,5/23/19 12:16,Ok,12.9473,12.4654,11.8067,11.1392,10.5799,10.2066,9.9645,9.7943,9.672,9.5264,9.3679,9.3108,9.2774,9.1289,8.97,8.8852,8.8406,8.7885,8.6837,8.5755,8.4479,8.2726,8.0558,7.9151,7.8588,7.7387,7.6001,7.5419,7.5112,7.4637,7.3892,7.3016,7.2464,7.1967,7.1404,7.0588,6.9725,6.9048,6.8589,6.8177,6.7439,6.6547,6.5999,6.5727,6.5414,6.492,6.4248,6.3776,6.3277,6.3006,6.2963,6.2505,6.1957,6.1766,6.1611,6.1289,6.0984,6.074,6.0455,6.0107,5.973,5.9487,5.9336,5.9272,5.9162,5.9084,5.8546,5.7803,5.782,5.7725,5.7224,5.7245,5.7018,5.6614,5.7042,5.7231,5.683,5.7129,5.7299,5.6908,5.6674,5.6466,5.628,5.6211,5.6141,5.5564,5.4284,5.3699,5.4006,5.4799,5.5639,5.4973,5.3944,5.3733,5.3845,5.3858,5.3765,5.337,5.3185,5.3735,5.3477,5.2977,5.2993,5.2978,5.2987,5.3084,5.2801,5.2355,5.2282,5.2374,5.2508,5.2394,5.2039,5.2468,5.2691,5.2399,5.1907,5.164,5.184,5.1533,5.1441,5.1448,5.1606,5.1706,5.1411,5.1415,5.1385,5.113,5.1169,5.1128,5.0914,5.0742,5.1152,5.1814,5.1181,5.0414,5.0722,5.124,5.0906,5.0071,5.002,5.0191,5.0411,5.0425,4.9849,5.0169,5.055,5.0145,5.0016,4.9966,5.0312,5.0313,5,4.9801,4.9701,4.995,4.9709,4.9312,4.9377,4.9738,4.9533,4.9486,4.9494,4.9133,4.8975,4.8738,4.8905,4.8769,4.8659,4.859,4.8809,4.8917,4.8381,4.8687,4.9017,4.8782,4.8661,4.857,4.8511,4.8337,4.7674,4.7461,4.8217,4.8829,4.824,4.7957,4.8199,4.8264,4.7733,4.7168,4.7549,4.8387,4.7882,4.7356,4.8051,4.8205,4.7605,4.7726,4.7526,4.7137,4.7288,4.705,4.7164,4.7398,4.7582,4.7379,4.6563,4.5977,4.6054,4.5924,4.5387,4.5187,4.5096
2,5/27/19 10:20,Ok,22.9038,21.7094,20.2475,18.7773,17.5291,16.638,16.0387,15.5858,15.218,14.9036,14.6435,14.5148,14.395,14.1625,13.9356,13.7919,13.6895,13.5493,13.3402,13.1098,12.8443,12.532,12.1535,11.8408,11.6304,11.3857,11.1558,11.0274,10.9225,10.8086,10.6627,10.5027,10.3948,10.2792,10.1408,9.9979,9.8371,9.6768,9.5624,9.4411,9.2775,9.1178,9,8.9061,8.8197,8.7155,8.6063,8.5098,8.4115,8.3452,8.2965,8.2123,8.1268,8.0697,8.0177,7.9512,7.8797,7.8149,7.7463,7.6851,7.6253,7.5591,7.5037,7.4687,7.4199,7.3714,7.2767,7.1761,7.1676,7.1461,7.0757,7.0592,7.0126,6.944,6.9615,6.9637,6.9062,6.9115,6.8914,6.84,6.8089,6.7662,6.7245,6.6771,6.653,6.5648,6.4105,6.3377,6.3303,6.4035,6.4897,6.3997,6.2356,6.1847,6.1933,6.1707,6.1615,6.1385,6.0839,6.1023,6.077,5.9953,5.9623,5.9918,6.0004,5.9572,5.9106,5.8756,5.8341,5.8413,5.8726,5.8417,5.7925,5.8505,5.9078,5.8444,5.7345,5.6952,5.7036,5.657,5.6237,5.6679,5.6794,5.6539,5.6522,5.6506,5.6331,5.599,5.591,5.5713,5.5526,5.5724,5.6178,5.6302,5.5273,5.4415,5.494,5.572,5.4981,5.3867,5.393,5.3849,5.4029,5.4132,5.3636,5.3953,5.3984,5.36,5.3747,5.3718,5.3828,5.3767,5.365,5.3088,5.2843,5.3157,5.2936,5.269,5.2905,5.3098,5.2941,5.257,5.2329,5.2408,5.2436,5.2005,5.1861,5.1718,5.1487,5.1347,5.1298,5.1573,5.1737,5.1889,5.2087,5.164,5.114,5.1124,5.1174,5.0916,5.0219,5.0163,5.1107,5.1372,5.076,5.0668,5.0635,5.0667,5.0364,4.988,5.0024,5.0649,5.0516,4.9627,4.9962,5.0665,5.0546,5.0537,5.0111,4.9523,4.943,4.9067,4.9079,4.9331,4.9705,4.9833,4.9236,4.8755,4.8514,4.7814,4.7151,4.6973,4.6997
2,5/30/19 11:38,Ok,11.7142,11.3477,10.8845,10.4087,9.9997,9.7361,9.5576,9.4199,9.3176,9.1602,8.9852,8.9796,8.9786,8.785,8.6017,8.5205,8.5154,8.5053,8.4137,8.3379,8.2212,8.0472,7.867,7.8269,7.858,7.728,7.5812,7.5469,7.5438,7.514,7.43,7.3241,7.2694,7.2334,7.1814,7.1119,7.0309,6.9611,6.9292,6.8978,6.8189,6.7356,6.6905,6.6726,6.649,6.5971,6.5365,6.4809,6.4263,6.4135,6.4177,6.3729,6.3202,6.3152,6.2959,6.2593,6.2307,6.1928,6.1817,6.166,6.1258,6.0946,6.0837,6.0903,6.092,6.0741,6.006,5.9362,5.9521,5.9549,5.9267,5.9309,5.9118,5.8591,5.8856,5.9112,5.8853,5.9254,5.9269,5.8889,5.8786,5.8724,5.8621,5.8294,5.8494,5.8004,5.6251,5.5643,5.6286,5.7399,5.851,5.8093,5.6604,5.6172,5.6465,5.6476,5.6391,5.6174,5.6202,5.6594,5.6289,5.575,5.5682,5.5851,5.6089,5.5967,5.5602,5.5373,5.5151,5.5303,5.5474,5.5253,5.4943,5.5582,5.6315,5.5733,5.5074,5.4967,5.4806,5.436,5.4618,5.4733,5.4734,5.475,5.4576,5.4851,5.4914,5.4493,5.4499,5.4541,5.4302,5.4221,5.4793,5.5376,5.4623,5.3838,5.4183,5.4737,5.4685,5.3589,5.3205,5.3994,5.4306,5.3943,5.3494,5.3813,5.3682,5.3622,5.3802,5.3686,5.4236,5.4347,5.3599,5.3283,5.3481,5.3613,5.3643,5.3487,5.322,5.362,5.3635,5.3368,5.3174,5.2907,5.2944,5.3008,5.323,5.2848,5.2274,5.2666,5.2932,5.2805,5.2596,5.2918,5.3406,5.3018,5.2856,5.2787,5.2664,5.2268,5.1876,5.195,5.2481,5.2761,5.228,5.2393,5.2593,5.2511,5.1774,5.1286,5.2063,5.2778,5.2486,5.1856,5.2169,5.2408,5.2207,5.2187,5.1616,5.1477,5.2174,5.2157,5.1877,5.2043,5.2228,5.1905,5.1044,5.048,5.0987,5.1181,5.057,5.0092,4.9977
2,6/3/19 10:47,Ok,12.626,12.3323,11.9648,11.5584,11.191,10.9576,10.7897,10.6321,10.5015,10.3364,10.1642,10.1375,10.0761,9.8379,9.6431,9.5402,9.4893,9.4277,9.323,9.2353,9.0938,8.9282,8.7846,8.7711,8.7857,8.6266,8.4718,8.4236,8.3968,8.339,8.2333,8.1186,8.0511,7.9919,7.918,7.8343,7.7475,7.6617,7.6061,7.5555,7.4592,7.3718,7.3095,7.2691,7.2372,7.174,7.0861,7.0139,6.9585,6.9221,6.9033,6.8516,6.7873,6.7657,6.7235,6.685,6.6602,6.6001,6.5635,6.5249,6.4742,6.4372,6.4126,6.3977,6.3733,6.3347,6.2695,6.1839,6.1847,6.1893,6.1329,6.1142,6.0778,6.0288,6.0479,6.0485,6.01,6.032,6.0185,5.9761,5.963,5.9398,5.9244,5.8861,5.8808,5.8224,5.6653,5.6015,5.643,5.7435,5.8201,5.7503,5.6124,5.5684,5.5938,5.599,5.5686,5.5269,5.5362,5.5631,5.5141,5.4547,5.4483,5.4616,5.4867,5.467,5.4101,5.3944,5.3809,5.3777,5.3979,5.3897,5.3487,5.3982,5.4782,5.4158,5.3232,5.3032,5.2905,5.251,5.2661,5.2876,5.2779,5.2802,5.2875,5.2901,5.2632,5.24,5.2584,5.2309,5.2061,5.2134,5.2645,5.3072,5.2285,5.1548,5.1758,5.2428,5.2331,5.1211,5.0909,5.1307,5.1616,5.1302,5.1094,5.1586,5.1278,5.1017,5.111,5.1099,5.156,5.1704,5.1135,5.0722,5.0707,5.0878,5.0664,5.0643,5.0831,5.1072,5.1049,5.0577,5.0201,5.0256,5.0454,5.0246,5.0171,4.9965,4.9361,4.9683,5.0343,5.0258,4.9717,4.993,5.058,5.0172,4.9855,4.9983,4.9933,4.9563,4.8941,4.893,4.9683,5.0136,4.9481,4.9235,4.9599,4.9659,4.9064,4.8558,4.918,4.9769,4.9383,4.8704,4.9001,4.944,4.9363,4.9207,4.8461,4.8542,4.9285,4.917,4.8812,4.8658,4.894,4.8677,4.7738,4.7268,4.7594,4.7983,4.7559,4.6947,4.6842
2,6/13/19 10:43,Ok,19.0045,18.0403,17.3246,16.6083,15.9021,15.2927,14.7373,14.1973,13.6856,13.1278,12.5243,12.2319,12.0671,11.6433,11.2517,11.0058,10.8658,10.7468,10.5447,10.4002,10.2095,9.9705,9.7551,9.7285,9.7794,9.5819,9.3837,9.3579,9.3592,9.3114,9.1947,9.0633,8.9974,8.9476,8.8624,8.7654,8.6677,8.5729,8.524,8.4814,8.3777,8.2781,8.2135,8.1682,8.1452,8.0847,7.9902,7.9094,7.8438,7.819,7.8116,7.7438,7.669,7.6519,7.6183,7.5671,7.5219,7.4864,7.4588,7.4156,7.3604,7.3219,7.3148,7.3083,7.3008,7.2883,7.199,7.1096,7.1227,7.1396,7.1308,7.1453,7.1159,7.0587,7.0925,7.1231,7.0753,7.082,7.0899,7.0385,6.9966,6.9869,6.9839,6.9621,6.9789,6.8844,6.6383,6.5245,6.5908,6.7583,6.9192,6.867,6.6778,6.6163,6.644,6.6336,6.6074,6.5918,6.6055,6.6391,6.592,6.5321,6.5299,6.521,6.584,6.6042,6.508,6.4666,6.4842,6.4823,6.4767,6.4801,6.445,6.4804,6.5674,6.5471,6.4272,6.3721,6.3796,6.3544,6.3824,6.4175,6.4074,6.4158,6.4221,6.4298,6.3834,6.3689,6.42,6.3853,6.3133,6.302,6.3984,6.4733,6.3693,6.2759,6.312,6.3753,6.3739,6.267,6.2406,6.2574,6.2633,6.2797,6.2538,6.3052,6.3158,6.2692,6.278,6.2957,6.3266,6.3309,6.2842,6.2305,6.2419,6.2541,6.227,6.2331,6.2528,6.2826,6.303,6.275,6.1999,6.2048,6.2448,6.2089,6.2138,6.1934,6.1124,6.1266,6.1602,6.1482,6.1623,6.2447,6.2786,6.2115,6.1882,6.1719,6.1462,6.1339,6.1104,6.114,6.177,6.1968,6.1112,6.0788,6.1359,6.1796,6.1523,6.0859,6.1021,6.1473,6.13,6.0819,6.096,6.1525,6.1711,6.1831,6.1349,6.0804,6.0495,6.0003,6.0374,6.1406,6.1947,6.0979,5.9801,5.9747,5.9806,5.9456,5.9137,5.9007,5.9025
2,7/3/19 12:39,Ok,-1.1334,-0.5645,-0.2248,0.0099,0.2041,0.3408,0.4281,0.497,0.5544,0.5986,0.6593,0.7049,0.7011,0.709,0.7453,0.7925,0.8277,0.8219,0.8358,0.8425,0.838,0.8555,0.8868,0.939,0.9382,0.9163,0.9299,0.9411,0.9404,0.9373,0.9362,0.9381,0.9478,0.9621,0.965,0.9681,0.9772,0.9841,0.9979,0.9986,0.9879,1.0031,1.0118,1.0219,1.0317,1.0168,1.0014,1.0078,1.026,1.0341,1.0419,1.0405,1.0443,1.0632,1.058,1.0715,1.0932,1.0741,1.0675,1.0674,1.0816,1.0887,1.0802,1.0847,1.0724,1.0613,1.0301,0.9786,0.9307,0.8481,0.7695,0.7901,0.857,0.9011,0.9524,0.9939,1.0171,1.0464,1.0376,1.0593,1.102,1.1025,1.1033,1.096,1.1241,1.1407,1.1259,1.156,1.201,1.1921,1.1609,1.1429,1.1277,1.1204,1.1564,1.1881,1.164,1.1303,1.1589,1.185,1.1557,1.1521,1.1307,1.1676,1.1936,1.1472,1.1478,1.1713,1.1492,1.1376,1.186,1.2016,1.173,1.2093,1.205,1.1334,1.1153,1.1411,1.1685,1.1557,1.1628,1.1978,1.1885,1.1655,1.167,1.1695,1.175,1.186,1.1861,1.1684,1.19,1.1966,1.1468,1.1596,1.2017,1.177,1.1802,1.2174,1.1684,1.1089,1.1375,1.1724,1.1977,1.1804,1.1378,1.2007,1.2102,1.1551,1.1545,1.1439,1.1974,1.1999,1.1521,1.1513,1.1542,1.1701,1.1841,1.1632,1.1562,1.1803,1.1479,1.1148,1.1372,1.1169,1.0737,1.0827,1.0794,1.0869,1.0788,1.1058,1.1236,1.1103,1.0911,1.0838,1.1266,1.0973,1.0697,1.0733,1.0857,1.0929,1.0487,1.0214,1.0874,1.1267,1.0527,1.0452,1.0872,1.0566,0.9983,1.0048,1.0443,1.077,1.0578,1.0188,1.0516,1.0387,0.9846,1.0373,1.0327,0.9905,1.0344,1.0679,1.0524,0.9531,0.9435,0.9768,0.9417,0.9191,0.8759,0.825,0.7936,0.7925,0.7843
2,7/8/19 12:19,Ok,24.2701,23.3515,22.0308,20.4724,19.0002,17.9117,17.1882,16.7009,16.3918,16.1878,16.0691,16.074,16.0534,15.95,15.8904,15.8643,15.8508,15.7597,15.5629,15.3246,15.046,14.7098,14.2172,13.7002,13.338,13.0356,12.7301,12.5013,12.3281,12.166,11.9959,11.8126,11.6533,11.5133,11.3483,11.1652,10.9624,10.7637,10.6099,10.4453,10.2496,10.0542,9.8822,9.7505,9.6261,9.4964,9.3681,9.2431,9.124,9.0394,8.9723,8.8744,8.772,8.707,8.6351,8.5608,8.4819,8.3867,8.3134,8.261,8.1813,8.0899,8.0284,7.9844,7.9291,7.8622,7.7672,7.6641,7.6276,7.5828,7.4934,7.4493,7.4087,7.347,7.3278,7.3007,7.2392,7.2215,7.1935,7.1429,7.0902,7.0226,6.9632,6.8983,6.8532,6.7639,6.6315,6.5741,6.576,6.5869,6.5699,6.4935,6.3846,6.3043,6.2828,6.2719,6.224,6.1689,6.155,6.1495,6.0897,6.0513,6.0026,6.0001,5.9954,5.9335,5.8996,5.8606,5.8224,5.8222,5.8317,5.7964,5.7443,5.7665,5.7697,5.7057,5.6482,5.6242,5.6178,5.5799,5.577,5.5887,5.5437,5.5254,5.5326,5.5087,5.4638,5.4512,5.4642,5.4267,5.3983,5.3864,5.3761,5.3596,5.343,5.2991,5.2957,5.323,5.2513,5.1914,5.1911,5.1767,5.2133,5.1925,5.129,5.1646,5.159,5.1132,5.1027,5.1002,5.1382,5.1107,5.0519,5.0279,5.019,5.0304,5.0349,5.0158,5.0159,5.0392,5.0138,4.9435,4.92,4.9179,4.9091,4.9319,4.8918,4.8368,4.8086,4.8343,4.8763,4.8686,4.8262,4.8388,4.8561,4.8015,4.797,4.8015,4.7941,4.7697,4.7074,4.6668,4.7404,4.8123,4.753,4.7052,4.7414,4.7393,4.6629,4.6266,4.6713,4.7287,4.7112,4.6514,4.6808,4.6871,4.6232,4.6279,4.6143,4.5921,4.5928,4.6031,4.6299,4.5849,4.5737,4.5404,4.4862,4.4854,4.4625,4.4135,4.373,4.3593,4.3246
2,7/15/19 9:16,Ok,10.2653,9.9146,9.4844,9.0357,8.6329,8.3162,8.0645,7.8614,7.7007,7.5557,7.4132,7.3115,7.2077,7.0633,6.9313,6.8372,6.7652,6.6749,6.5917,6.5123,6.4086,6.315,6.2475,6.2264,6.185,6.0966,6.0213,5.9712,5.9145,5.8437,5.7666,5.684,5.6203,5.5679,5.5012,5.4296,5.3585,5.2908,5.2354,5.1676,5.0973,5.05,5.0073,4.9699,4.9344,4.8751,4.814,4.7755,4.7366,4.7074,4.6818,4.6419,4.6077,4.5942,4.5598,4.5276,4.5117,4.4728,4.4346,4.4041,4.3811,4.3552,4.3242,4.2994,4.276,4.2494,4.2114,4.1755,4.1808,4.1775,4.1197,4.0946,4.0894,4.0525,4.073,4.1105,4.0798,4.0818,4.0734,4.0497,4.0522,4.0303,4.0002,3.969,3.9749,3.9327,3.8369,3.8216,3.86,3.904,3.9042,3.8562,3.7776,3.7264,3.7418,3.766,3.7499,3.7106,3.7197,3.7478,3.718,3.6923,3.6681,3.6881,3.7171,3.683,3.6453,3.6487,3.6284,3.6118,3.6592,3.6666,3.6409,3.6747,3.6808,3.6061,3.5626,3.5662,3.5811,3.5712,3.5785,3.5888,3.5776,3.587,3.5874,3.5916,3.5808,3.5564,3.5631,3.5553,3.5667,3.5804,3.5444,3.5492,3.5527,3.5165,3.5489,3.5708,3.4924,3.4305,3.4647,3.4831,3.5011,3.4936,3.4638,3.5281,3.5292,3.4781,3.4858,3.4838,3.5268,3.5124,3.4594,3.4423,3.4369,3.4617,3.4635,3.4766,3.4951,3.4961,3.4715,3.4356,3.4474,3.4321,3.409,3.41,3.3836,3.393,3.3848,3.3945,3.4191,3.4115,3.3855,3.3899,3.437,3.4104,3.369,3.3687,3.3959,3.376,3.3158,3.3025,3.3589,3.4181,3.3845,3.3425,3.3649,3.3776,3.3348,3.3051,3.3388,3.384,3.3128,3.2616,3.3697,3.4019,3.3166,3.3692,3.3897,3.3297,3.2842,3.239,3.2839,3.3181,3.3002,3.2825,3.3061,3.3007,3.2625,3.197,3.1128,3.0625,3.0606
2,7/18/19 11:23,Ok,21.5888,20.6933,19.6606,18.6234,17.7064,17.0132,16.5227,16.1348,15.8048,15.5115,15.2134,15.0268,14.878,14.6323,14.3908,14.1933,14.0341,13.8618,13.6615,13.4614,13.2381,12.9975,12.7152,12.482,12.3113,12.1164,11.9176,11.7592,11.6151,11.4633,11.3012,11.1259,10.9731,10.8277,10.6705,10.507,10.3357,10.1712,10.0254,9.881,9.7259,9.5755,9.4396,9.3282,9.2199,9.0902,8.9602,8.8505,8.7363,8.6435,8.5658,8.4696,8.3828,8.3095,8.2301,8.1607,8.0922,8.0073,7.9251,7.8435,7.7635,7.7004,7.624,7.5415,7.4766,7.4079,7.3054,7.2044,7.1598,7.0927,6.9892,6.9273,6.8723,6.7974,6.7668,6.7491,6.6821,6.6464,6.603,6.5422,6.4946,6.4193,6.3566,6.2923,6.2397,6.1549,6.014,5.9298,5.9185,5.9495,5.9343,5.8407,5.7426,5.6649,5.6204,5.6156,5.5796,5.5059,5.4865,5.4968,5.4388,5.3851,5.3527,5.3445,5.3346,5.2938,5.2636,5.2319,5.1839,5.1901,5.2085,5.1713,5.1435,5.1562,5.1325,5.0669,5.0296,5.0112,4.9877,4.9668,4.9655,4.9741,4.9435,4.9337,4.9398,4.9151,4.8757,4.8615,4.8657,4.8355,4.8211,4.8276,4.7996,4.7682,4.7537,4.7138,4.7412,4.7581,4.6572,4.5962,4.6309,4.634,4.6449,4.6336,4.5853,4.6221,4.6525,4.6054,4.5567,4.5522,4.6011,4.59,4.5199,4.4955,4.5063,4.5033,4.4817,4.4912,4.5078,4.5361,4.5221,4.452,4.4125,4.3901,4.3906,4.4071,4.3905,4.3768,4.353,4.3582,4.3722,4.3621,4.3428,4.3466,4.392,4.3547,4.3161,4.3236,4.3326,4.3102,4.2493,4.2368,4.2718,4.3165,4.2958,4.2605,4.2763,4.2855,4.2228,4.1567,4.193,4.2576,4.2149,4.1805,4.2634,4.2815,4.2067,4.2161,4.1779,4.1323,4.159,4.1427,4.1525,4.1651,4.153,4.1351,4.124,4.0892,4.0601,4.0142,3.942,3.8818,3.879
